From Date,PM10,PM2.5,RH,WS,WD,Temp
05-01-2023 04:00,120,27.75,85,2.02,79,
05-01-2023 05:00,114.5,30.5,86.25,1.92,91,
05-01-2023 06:00,125.25,31.75,87,1.93,78.25,
05-01-2023 07:00,127.5,31.25,88,1.52,93.5,
05-01-2023 08:00,138.25,30.75,88,1.67,91.5,
05-01-2023 09:00,161,31.75,84,1.77,83,
05-01-2023 10:00,172.5,46.25,76.75,2.15,79.25,
05-01-2023 11:00,175.25,45.5,70,1.82,86.5,
05-01-2023 12:00,183.25,45.75,65.75,1.8,110,
05-01-2023 13:00,166.75,65.25,62.75,1.83,113.25,
05-01-2023 14:00,157.75,86.25,62.5,1.82,103.75,
05-01-2023 15:00,151.5,96.5,64,1.6,90,
05-01-2023 16:00,198.25,102,66.75,1.32,81.25,
05-01-2023 17:00,288.5,146,69,1.93,76.75,
05-01-2023 18:00,146.5,80.5,68.25,1.65,78.5,
05-01-2023 19:00,128.75,70.25,68,1.5,89.25,
05-01-2023 20:00,124.25,33,69,1.6,100.75,
05-01-2023 21:00,121,26.25,68.5,1.95,93,
05-01-2023 22:00,113,24.5,68.25,1.82,92.75,
05-01-2023 23:00,95,26,71.25,1.8,95,
06-01-2023 00:00,86.25,25.75,73.5,1.45,94.75,
06-01-2023 01:00,85.25,24.25,74.25,1.53,79.25,
06-01-2023 02:00,79,21.75,75.5,1.7,83.5,
06-01-2023 03:00,78.25,21.75,77.5,1.48,85,
06-01-2023 04:00,87,24.25,78.75,1.15,91.75,
06-01-2023 05:00,93.5,25.75,79,1.2,103,
06-01-2023 06:00,100.25,27.75,79.5,1.07,86.25,
06-01-2023 07:00,119.5,28.25,80,0.97,92.25,
06-01-2023 08:00,130.75,31.25,77,1.38,97,
06-01-2023 09:00,140,30.75,69.25,1.1,108,
06-01-2023 10:00,162.25,49,62.5,1.4,112,
06-01-2023 11:00,165.5,77.5,60,1.25,101.5,
06-01-2023 12:00,160.5,46.5,58.5,1.3,133.5,
06-01-2023 13:00,149.5,52.75,55.25,0.97,146.75,
06-01-2023 14:00,147.25,68.75,54.75,1.18,115,
06-01-2023 15:00,141.25,67.75,56.5,1.23,116.75,
06-01-2023 16:00,128.75,50,60.5,1.3,109,
06-01-2023 17:00,135.25,56.75,67.75,1.2,87.75,
06-01-2023 18:00,170,65,69.25,1.2,98,
06-01-2023 19:00,177.75,52,72,1.35,100.25,
06-01-2023 20:00,162.75,39.5,73.5,1.32,100,
06-01-2023 21:00,151.75,36,72,1.33,87.25,
06-01-2023 22:00,131.5,30.5,70,1.43,102.5,
06-01-2023 23:00,105.75,29.5,66.5,1.33,100.5,
07-01-2023 00:00,91.75,20.75,64,1.2,90.25,
07-01-2023 01:00,72,17,58.5,1,103.5,
07-01-2023 02:00,49.75,17.5,59,0.78,115.5,
07-01-2023 03:00,49.5,18,65,0.38,97.75,
07-01-2023 04:00,63.25,15.25,70,0.45,99.75,
07-01-2023 05:00,79,17.25,73.75,0.35,104.5,
07-01-2023 06:00,103,22.5,75.75,0.3,107.25,
07-01-2023 07:00,130.25,30,77.5,0.3,111,
07-01-2023 08:00,166.75,39.75,69.5,0.3,130.5,
07-01-2023 09:00,193.25,41.25,55.5,0.43,113.75,
07-01-2023 10:00,187.5,41.25,42.5,0.85,95.5,
07-01-2023 11:00,150.75,42,36.5,1.22,105.25,
07-01-2023 12:00,92.75,24.5,38,1.32,105.5,
07-01-2023 13:00,73.5,28,38.5,1,114,
07-01-2023 14:00,80.25,35.75,41,1.08,108,
07-01-2023 15:00,96.25,37.5,41,1.05,93,
07-01-2023 16:00,77.25,27,45.25,1.3,83.5,
07-01-2023 17:00,110.25,31,51.5,0.8,67.25,
07-01-2023 18:00,155,44.5,58,0.5,61.75,
07-01-2023 19:00,182.25,48.5,58.25,0.85,79.5,
07-01-2023 20:00,154.25,42.75,56.25,0.9,95.75,
07-01-2023 21:00,121.5,30.75,58.5,0.82,97.75,
07-01-2023 22:00,120.75,32,58.75,0.8,101,
07-01-2023 23:00,129,31,61.75,0.47,113.75,
08-01-2023 00:00,139,34.5,62.75,0.7,106.25,
08-01-2023 01:00,107.25,25.25,63,0.62,104.5,
08-01-2023 02:00,84,21.5,69.25,0.3,104.75,
08-01-2023 03:00,82.75,26.25,67,0.53,98.25,
08-01-2023 04:00,79,26,65,0.53,102.75,
08-01-2023 05:00,86.25,24.75,73,0.3,106,
08-01-2023 06:00,126,34,79.5,0.3,107.25,
08-01-2023 07:00,198.75,48.75,81.25,0.3,171.75,
08-01-2023 08:00,251,56.75,59.25,0.32,127.25,
08-01-2023 09:00,218.25,50.75,40.5,0.55,100.5,
08-01-2023 10:00,142.75,33,42.25,1.52,85.75,
08-01-2023 11:00,99,25.5,40.5,1.65,88,
08-01-2023 12:00,91,20.5,40,2.08,95.25,
08-01-2023 13:00,94.5,16.5,37,2.12,102.5,
08-01-2023 14:00,64.25,10.5,31.25,1.52,120.75,
08-01-2023 15:00,51.75,14.75,31,1.48,128.5,
08-01-2023 16:00,61,15,35.25,1.05,91.75,
08-01-2023 17:00,79.25,20,40.75,0.82,74,
08-01-2023 18:00,114.5,27.75,48.5,0.38,73,
08-01-2023 19:00,187.25,37.5,52.5,0.42,82,
08-01-2023 20:00,275.25,55.75,62,0.3,125.75,
08-01-2023 21:00,309.5,66.25,57.5,0.55,91.25,
08-01-2023 22:00,228.5,53.5,56.75,0.85,104,
08-01-2023 23:00,157.25,44.5,58.5,0.8,100,
09-01-2023 00:00,129.5,32.5,64.5,0.35,143.25,
09-01-2023 01:00,165.75,37,74.5,0.3,252.25,
09-01-2023 02:00,180.5,40,79.5,0.3,175.25,
09-01-2023 03:00,173.75,46.75,81.5,0.3,178,
09-01-2023 04:00,150,39,83.5,0.3,178,
09-01-2023 05:00,163.75,39.25,84.75,0.3,170,
09-01-2023 06:00,187.5,48,81.75,0.3,127.75,
09-01-2023 07:00,170.5,46.75,79.75,0.3,167,
09-01-2023 08:00,198,52.5,58.25,0.32,171.75,
09-01-2023 09:00,188.25,48.75,40.25,0.55,95.5,
09-01-2023 10:00,127,35,34.75,0.88,99.5,
09-01-2023 11:00,84,38.75,33.25,1.02,131.5,
09-01-2023 12:00,81,29.75,33,1.17,110.25,
09-01-2023 13:00,78.5,21.5,29.5,1.28,115.75,
09-01-2023 14:00,72.25,17.5,26.75,0.9,136.25,
09-01-2023 15:00,82.25,20,31,1.32,97.25,
09-01-2023 16:00,89.5,23,27.5,1.18,90.25,
09-01-2023 17:00,70.25,23.25,34.75,0.85,73.75,
09-01-2023 18:00,139.5,28.75,43.25,0.33,38,
09-01-2023 19:00,249,50,51.5,0.3,119.25,
09-01-2023 20:00,392,75.75,59,0.3,204.25,
09-01-2023 21:00,431.25,83.75,56.5,0.3,93.5,
09-01-2023 22:00,289.5,61.5,54.25,0.45,95.75,
09-01-2023 23:00,211.75,50,62,0.3,112,
10-01-2023 00:00,213.75,50.25,70,0.3,120.5,
10-01-2023 01:00,217,57.25,74.75,0.3,122,
10-01-2023 02:00,162,45.25,74,0.3,122.5,
10-01-2023 03:00,122,32.75,71.75,0.3,59.5,
10-01-2023 04:00,117.5,28.75,76.5,0.3,36,
10-01-2023 05:00,118.75,31.75,80.75,0.3,36,
10-01-2023 06:00,156.5,46,82.75,0.3,39.5,
10-01-2023 07:00,223.5,56.75,79.25,0.3,127.5,
10-01-2023 08:00,223.25,56.5,56.5,0.38,105,
10-01-2023 09:00,159.75,37.5,48,1.05,82.25,
10-01-2023 10:00,113.25,31,40.5,1.48,105.5,
10-01-2023 11:00,89.25,32.75,36,1.23,108.25,
10-01-2023 12:00,75.5,27.75,30.5,1.02,130.5,
10-01-2023 13:00,65.25,22,30.75,1.25,138.25,
10-01-2023 14:00,56.5,15.5,28.75,1.22,131,
10-01-2023 15:00,59.5,14.5,29,1.2,116,
10-01-2023 16:00,75.25,17.25,34.5,1.67,84,
10-01-2023 17:00,90.25,23,40.5,1.05,98.5,
10-01-2023 18:00,136.25,31.5,49,0.32,86.5,
10-01-2023 19:00,218.5,44.25,52.25,0.3,93.75,
10-01-2023 20:00,277.5,61.5,55,0.32,96.75,
10-01-2023 21:00,272.5,63.5,58,0.3,66.5,
10-01-2023 22:00,245.75,59.25,60.5,0.3,83,
10-01-2023 23:00,305.75,67.75,67.25,0.3,86,
11-01-2023 00:00,298.75,63.5,74,0.3,86,
11-01-2023 01:00,290,66,77.75,0.3,86,
11-01-2023 02:00,337.25,76,80.75,0.3,80.5,
11-01-2023 03:00,301.75,70.25,82.75,0.3,82.5,
11-01-2023 04:00,296.5,72.5,85,0.3,108,
11-01-2023 05:00,329.75,76.25,86.25,0.3,152,
11-01-2023 06:00,309.75,75,86.5,0.3,189.75,
11-01-2023 07:00,314,76.5,87,0.3,178,
11-01-2023 08:00,320.25,71.75,65,0.3,164.25,
11-01-2023 09:00,305.75,65.75,47.5,1.12,159,
11-01-2023 10:00,159,48.25,41.5,1.25,163,
11-01-2023 11:00,93.5,39.25,36.5,0.93,196,
11-01-2023 12:00,79,26.5,31.75,1.35,247,
11-01-2023 13:00,86.75,22,31.75,1.75,260,
11-01-2023 14:00,90.5,21.75,33.75,1.8,262,
11-01-2023 15:00,86.5,21.5,32.25,1.7,267.75,
11-01-2023 16:00,88,23,35.25,1.35,271.25,
11-01-2023 17:00,93.5,24,36.25,0.6,291.5,
11-01-2023 18:00,146.5,32.25,46,0.3,271.75,
11-01-2023 19:00,304,59,51.5,0.33,168.25,
11-01-2023 20:00,485.25,97.75,58.25,0.3,184.5,
11-01-2023 21:00,553,107.75,59.25,0.3,238.25,
11-01-2023 22:00,391.25,81.5,60.25,0.3,229.25,
11-01-2023 23:00,286.75,65.75,62.75,0.32,221,
12-01-2023 00:00,225,56,62.75,0.38,268.5,
12-01-2023 01:00,168.75,45.75,68.25,0.3,205,
12-01-2023 02:00,141,39.5,71.25,0.3,201.5,
12-01-2023 03:00,132.5,32.5,72.75,0.33,268.5,
12-01-2023 04:00,133,32.25,74.75,0.33,257.25,
12-01-2023 05:00,133,29,77,0.3,250,
12-01-2023 06:00,148.5,36.5,78.25,0.3,235.5,
12-01-2023 07:00,186.25,45.5,77.5,0.3,218,
12-01-2023 08:00,236,55.75,62.75,0.62,259.75,
12-01-2023 09:00,207,43.5,57.5,1.12,273.25,
12-01-2023 10:00,153.25,37.75,57.25,1.35,261.75,
12-01-2023 11:00,113,41,52.75,1.6,261.5,
12-01-2023 12:00,96.5,32.25,47.5,1.68,259.75,
12-01-2023 13:00,90.5,22.5,47.25,2,261.75,
12-01-2023 14:00,89.25,19,49.75,1.65,264,
12-01-2023 15:00,95.5,20.75,47.5,1.57,258.75,
12-01-2023 16:00,87.75,19.75,50.75,1.47,264.25,
12-01-2023 17:00,102.25,28.25,56.75,1.25,262.5,
12-01-2023 18:00,131,29.25,62,0.78,270.75,
12-01-2023 19:00,165.75,33.25,66,0.7,286,
12-01-2023 20:00,170,39.75,68,0.65,287.75,
12-01-2023 21:00,136.25,29.75,69.75,0.7,266.75,
12-01-2023 22:00,127,29,73.25,0.38,241.5,
12-01-2023 23:00,144.25,31.25,76.75,0.3,242.75,
13-01-2023 00:00,178.75,38,79.5,0.33,225.75,
13-01-2023 01:00,183.5,39,80.25,0.3,196.75,
13-01-2023 02:00,186.5,41.5,83.25,0.3,234.5,
13-01-2023 03:00,173,42,82.25,0.45,175.75,
13-01-2023 04:00,163,44,81.5,0.33,185,
13-01-2023 05:00,125.25,30.75,81.75,0.67,242,
13-01-2023 06:00,109,28,83.25,0.4,240.25,
13-01-2023 07:00,147.25,33.5,81.5,0.47,244,
13-01-2023 08:00,225.25,44.5,70.75,0.88,267.75,
13-01-2023 09:00,329.25,61.75,57.25,1.23,272.75,
13-01-2023 10:00,419.75,86.25,47.25,1.3,261,
13-01-2023 11:00,435.5,88.25,47,1.4,256,
13-01-2023 12:00,330.25,52.5,49.75,1.78,253.75,
13-01-2023 13:00,250.75,39.5,48.5,2.05,262.5,
13-01-2023 14:00,192,32,42.5,2,264.25,
13-01-2023 15:00,200.75,32.5,43.25,1.65,255.75,
13-01-2023 16:00,213.5,36,43,1.62,267.25,
13-01-2023 17:00,241,44.5,46,1.1,265.25,
13-01-2023 18:00,284.5,54.75,48.75,0.42,291.75,
13-01-2023 19:00,297.5,64.25,52.25,0.33,308.25,
13-01-2023 20:00,316.25,67,56.25,0.4,309.25,
13-01-2023 21:00,295.25,64.75,58.75,0.3,307.25,
13-01-2023 22:00,282.75,64.25,58.75,0.55,298.75,
13-01-2023 23:00,237.25,52,60.5,0.5,284.75,
14-01-2023 00:00,184,40,62.25,0.38,237.75,
14-01-2023 01:00,156.5,39,64.75,0.47,245.5,
14-01-2023 02:00,153.25,36.75,65.5,0.33,280,
14-01-2023 03:00,145.25,37.5,68.75,0.45,260.5,
14-01-2023 04:00,142,34,69,0.38,280,
14-01-2023 05:00,157.5,37.75,68,0.6,176.5,
14-01-2023 06:00,157.5,38.25,69.5,0.75,92.5,
14-01-2023 07:00,160.25,35.75,72.75,0.75,79,
14-01-2023 08:00,185.25,42.5,67.25,1.3,91.75,
14-01-2023 09:00,192.5,38,57.25,1.95,86.25,
14-01-2023 10:00,177.75,None,51.75,1.9,91.75,
14-01-2023 11:00,149.5,34,47.25,1.82,90.5,
14-01-2023 12:00,126,33,42.25,1.4,111.5,
14-01-2023 13:00,113.75,27.25,39.75,1.3,125.5,
14-01-2023 14:00,115,19.25,42,1.77,125.5,
14-01-2023 15:00,119.5,21.75,41.25,1.55,102.75,
14-01-2023 16:00,110,25.5,40.5,1.6,104,
14-01-2023 17:00,102.5,23.25,47,1.5,117.75,
14-01-2023 18:00,132.25,31.25,55.25,0.6,131.25,
14-01-2023 19:00,161.75,35.75,58.75,0.5,104.25,
14-01-2023 20:00,192,40,61.5,0.5,123.25,
14-01-2023 21:00,217.5,49,64.5,0.4,64.5,
14-01-2023 22:00,238.5,57.5,64.75,0.55,85.25,
14-01-2023 23:00,267.5,56,69,0.62,140.25,
15-01-2023 00:00,276.75,55.25,72.5,0.67,91.75,
15-01-2023 01:00,237.5,52,74,0.95,86.25,
15-01-2023 02:00,212,49,75,0.53,85.25,
15-01-2023 03:00,None,None,77.5,0.55,92.25,
15-01-2023 04:00,None,None,80.5,0.47,141.75,
15-01-2023 05:00,None,None,81.5,0.88,92,
15-01-2023 06:00,159,124,82.5,1.05,93.25,
15-01-2023 07:00,159,124,82,1.2,78,
15-01-2023 08:00,None,None,None,None,None,
15-01-2023 09:00,None,None,None,None,None,
15-01-2023 10:00,None,None,None,None,None,
15-01-2023 11:00,None,None,None,None,None,
15-01-2023 12:00,None,None,None,None,None,
15-01-2023 13:00,None,None,42,0.9,148,
15-01-2023 14:00,None,None,45.75,1.6,102.75,
15-01-2023 15:00,132.75,41,48,1.68,95.5,
15-01-2023 16:00,118.75,39,50.5,1.68,88.5,
15-01-2023 17:00,116.5,31.75,54.25,0.78,83.25,
15-01-2023 18:00,134.25,32.25,58.25,0.65,130,
15-01-2023 19:00,174,45.5,55.75,0.75,87.5,
15-01-2023 20:00,171,49,54.75,0.53,96,
15-01-2023 21:00,170,57.25,56,0.6,92.5,
15-01-2023 22:00,191.25,58.75,55.75,0.8,77,
15-01-2023 23:00,178,41.5,57.75,0.83,107,
16-01-2023 00:00,148.5,33.33,59.25,1.07,108.5,
16-01-2023 01:00,98.5,25.75,57,1.02,92.25,
16-01-2023 02:00,81.5,25.5,57.75,1.08,87.75,
16-01-2023 03:00,88.5,28.75,60.25,0.9,91.25,
16-01-2023 04:00,86.5,32.5,63.75,1.55,97.25,
16-01-2023 05:00,87.25,29.5,64.5,1.73,91.75,
16-01-2023 06:00,103.5,32.75,65.75,1.37,98.25,
16-01-2023 07:00,129,30,71.25,1.48,94.5,
16-01-2023 08:00,127.25,33.25,67.25,1.67,83.5,
16-01-2023 09:00,146.25,33.75,62.25,2.08,76.5,
16-01-2023 10:00,135.5,38.5,60,1.85,84.5,
16-01-2023 11:00,127.5,52.25,56,1.52,98,
16-01-2023 12:00,127.25,41.5,51,1.12,118,
16-01-2023 13:00,132.75,33,48.25,1.25,99,
16-01-2023 14:00,141.75,30,49.25,1.2,100.25,
16-01-2023 15:00,159,32,51.75,1.7,91.75,
16-01-2023 16:00,170.75,36,55.75,1.8,92,
16-01-2023 17:00,152.5,31.25,60,1.25,95.5,
16-01-2023 18:00,158.25,37.25,65,1.07,92,
16-01-2023 19:00,184,44.5,65.25,1.27,66.5,
16-01-2023 20:00,211,44.25,63.25,1.23,83.75,
16-01-2023 21:00,171.5,38.75,62,1.23,78.5,
16-01-2023 22:00,151.25,35,62,1.23,86.5,
16-01-2023 23:00,117.5,26.75,59.75,1.08,86.25,
17-01-2023 00:00,100.25,28.25,62.5,1.5,90.75,
17-01-2023 01:00,89.5,26,68.25,1.45,87.5,
17-01-2023 02:00,90.25,25.75,70,1.27,85.5,
17-01-2023 03:00,88.5,25.5,69,1.18,84.25,
17-01-2023 04:00,91,26,70.25,1.1,87,
17-01-2023 05:00,94.5,23.25,72.25,0.72,91.75,
17-01-2023 06:00,96.5,24,71.75,1.12,97.25,
17-01-2023 07:00,100.5,24.75,68,1.7,98.75,
17-01-2023 08:00,111.5,26.75,59,1.75,92.5,
17-01-2023 09:00,120,25.5,51.5,1.85,94.5,
17-01-2023 10:00,114.5,27.25,51,1.82,81.75,
17-01-2023 11:00,114.5,38.5,48.25,1.62,86.75,
17-01-2023 12:00,108.5,38.75,47.5,1.52,107.5,
17-01-2023 13:00,107.5,26.75,46.75,1.23,112.25,
17-01-2023 14:00,120.5,28.75,47,1.35,108.75,
17-01-2023 15:00,129.75,27.5,47.5,1.12,152.75,
17-01-2023 16:00,133,26,52,1.77,85.5,
17-01-2023 17:00,125,30.25,58.5,1.48,91.5,
17-01-2023 18:00,128.5,45,62.25,1.15,95.25,
17-01-2023 19:00,157.75,48.5,58.25,1.33,81,
17-01-2023 20:00,166.75,42,56.25,1,76.75,
17-01-2023 21:00,184.25,44,58.25,0.78,80.5,
17-01-2023 22:00,174,40.5,57,0.82,96.5,
17-01-2023 23:00,157.5,37.25,53.75,1,88.75,
18-01-2023 00:00,119.25,29.75,55,1.32,91.25,
18-01-2023 01:00,100.25,23.75,58,0.85,88,
18-01-2023 02:00,101.5,26.5,61.75,0.95,86,
18-01-2023 03:00,97.5,27,62.75,1.45,88,
18-01-2023 04:00,104.75,24.5,66.5,1.42,93.75,
18-01-2023 05:00,95.75,26,67,1.72,94.75,
18-01-2023 06:00,100.5,26,67.5,1.18,97.5,
18-01-2023 07:00,109.5,27.25,62.25,1.07,104.75,
18-01-2023 08:00,117.25,31,45,1.65,102.5,
18-01-2023 09:00,122.5,31.25,43.5,1.88,111.25,
18-01-2023 10:00,108.25,36.75,48.25,1.85,110.75,
18-01-2023 11:00,104.25,49.5,45.75,1.73,112.5,
18-01-2023 12:00,97.5,41.25,41.25,1.47,117.5,
18-01-2023 13:00,91,30.5,38.5,1.47,86,
18-01-2023 14:00,87.75,31,37.5,1.3,104.75,
18-01-2023 15:00,92,25.75,35,1.27,91,
18-01-2023 16:00,84,20.25,38,1.48,81.25,
18-01-2023 17:00,96.75,24.5,43,1.4,80.75,
18-01-2023 18:00,108.5,26.75,49.75,1.42,83.75,
18-01-2023 19:00,131.25,27.5,50.25,1.85,91.75,
18-01-2023 20:00,114,24,51.5,1.7,86.5,
18-01-2023 21:00,114.25,27.75,53.75,1.3,97.5,
18-01-2023 22:00,110,30.5,54,1.4,102,
18-01-2023 23:00,93.75,29.25,53,1.27,101,
19-01-2023 00:00,85.75,21.25,54.25,1.32,105.25,
19-01-2023 01:00,75.75,22.25,57,0.6,118.75,
19-01-2023 02:00,83,23.5,61,0.33,107.75,
19-01-2023 03:00,79.25,25.75,61.5,0.43,93,
19-01-2023 04:00,78.5,26.75,62,0.65,97,
19-01-2023 05:00,82.75,23.5,63,0.45,92.25,
19-01-2023 06:00,89.75,26.75,65,0.62,95,
19-01-2023 07:00,115,31.25,64.75,1.12,103.75,
19-01-2023 08:00,128.5,30.25,60,1.27,95.75,
19-01-2023 09:00,148.5,35.75,52.25,1.35,94.25,
19-01-2023 10:00,139.5,42,47,1.52,90.25,
19-01-2023 11:00,132,47.25,43.25,1.9,91,
19-01-2023 12:00,119,49.5,42.5,1.58,95.75,
19-01-2023 13:00,104.75,40.25,42,1.57,106,
19-01-2023 14:00,98,48.5,42.5,1.35,92.5,
19-01-2023 15:00,99.5,33.25,42.25,1.53,87.75,
19-01-2023 16:00,103.25,27,45.75,1.45,83,
19-01-2023 17:00,107.75,30,51.75,1.22,88,
19-01-2023 18:00,133.75,46.25,59,1,87.25,
19-01-2023 19:00,147.75,39.5,63.75,1.52,87.5,
19-01-2023 20:00,138.75,35.25,66,1.48,91,
19-01-2023 21:00,138.75,35.25,68.75,1.25,105.5,
19-01-2023 22:00,132.75,33.75,70.5,1.12,119,
19-01-2023 23:00,135.75,35,72.25,1.03,126.5,
20-01-2023 00:00,146.25,34.75,75.5,0.55,152.75,
20-01-2023 01:00,174.5,44.25,79.25,0.3,155,
20-01-2023 02:00,185.75,45.75,81.5,0.3,167,
20-01-2023 03:00,180.75,40.75,77,0.5,154.5,
20-01-2023 04:00,158.25,42.5,74,0.52,153,
20-01-2023 05:00,153.5,32.25,72.25,0.93,138.5,
20-01-2023 06:00,152.25,36,73.75,0.55,198.25,
20-01-2023 07:00,184.5,45.75,80.25,0.33,185.25,
20-01-2023 08:00,246,51.25,73.75,0.38,278.25,
20-01-2023 09:00,275.25,56,63.25,0.93,162,
20-01-2023 10:00,164.25,38.5,55.5,1,196,
20-01-2023 11:00,133.5,29.25,49.25,1.27,243.75,
20-01-2023 12:00,128,24.25,45.25,1.98,262.25,
20-01-2023 13:00,129.75,24.5,39,2.25,262.25,
20-01-2023 14:00,143.75,24,34,2.3,259,
